HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456024.11934,2012-04-06.6175973,bb,1.76,16.391,14.229,0.031,7.803,0.223,V
2456024.12095,2012-04-06.6192027,bb,1.81,16.470,14.183,0.029,8.143,0.211,V
2456024.12263,2012-04-06.6208809,bb,1.75,16.414,14.224,0.031,7.835,0.221,V
2456029.09744,2012-04-11.5955006,bb,1.67,16.763,14.224,0.023,7.841,0.167,V
2456029.09919,2012-04-11.5972456,bb,1.67,16.690,14.207,0.024,7.966,0.176,V
2456040.09924,2012-04-22.5969376,bb,2.06,16.887,14.217,0.021,7.893,0.151,V
2456040.10110,2012-04-22.5987966,bb,2.08,16.891,14.233,0.021,7.774,0.150,V
2456216.73744,2012-10-16.2394184,bb,2.03,16.980,14.205,0.017,7.978,0.125,V
2456217.72919,2012-10-17.2312108,bb,2.11,16.887,14.241,0.021,7.720,0.148,V
2456217.73108,2012-10-17.2330855,bb,2.09,16.994,14.250,0.019,7.652,0.139,V
2456221.73266,2012-10-21.2348052,ba,2.41,16.523,14.244,0.029,7.699,0.205,V
2456221.73452,2012-10-21.2366583,ba,2.37,16.637,14.197,0.026,8.030,0.189,V
2456233.70338,2012-11-02.2058695,ba,2.19,99.990,99.990,99.990,99.990,99.990,V
2456237.70168,2012-11-06.2042518,ba,2.17,99.990,99.990,99.990,99.990,99.990,V
2456338.06128,2013-02-14.5619574,ba,2.17,16.735,14.194,0.022,8.062,0.164,V
2456338.06314,2013-02-14.5638218,ba,2.18,16.793,14.193,0.021,8.072,0.156,V
2456349.15086,2013-02-25.6509885,ba,2.01,16.302,14.276,0.035,7.472,0.236,V
2456349.15253,2013-02-25.6526586,ba,2.02,16.260,14.215,0.034,7.906,0.246,V
2456355.11879,2013-03-03.6186233,ba,2.13,16.642,14.315,0.027,7.204,0.178,V
2456355.12056,2013-03-03.6203880,ba,2.15,16.678,14.254,0.025,7.627,0.174,V
2456360.05670,2013-03-08.5562892,ba,2.09,16.704,14.191,0.022,8.082,0.162,V
2456360.05856,2013-03-08.5581534,ba,2.08,16.782,14.212,0.021,7.926,0.156,V
2456371.10138,2013-03-19.6004305,ba,1.73,16.905,14.363,0.022,6.893,0.138,V
2456371.10324,2013-03-19.6022952,ba,1.82,16.889,14.388,0.024,6.738,0.145,V
2456391.03446,2013-04-08.5326526,ba,2.09,16.749,14.180,0.021,8.168,0.161,V
2456391.03595,2013-04-08.5341343,ba,2.09,16.756,14.206,0.022,7.975,0.159,V
2456394.04133,2013-04-11.5394091,ba,2.27,16.715,14.235,0.022,7.765,0.161,V
2456394.04282,2013-04-11.5408929,ba,2.27,16.728,14.212,0.022,7.924,0.159,V
2456398.94418,2013-04-16.4420802,ba,2.50,99.990,99.990,99.990,99.990,99.990,V
2456401.10301,2013-04-18.6008322,ba,2.17,16.774,14.264,0.023,7.556,0.160,V
2456401.10491,2013-04-18.6027337,ba,2.18,16.778,14.204,0.020,7.987,0.151,V
2456404.00525,2013-04-21.5029895,ba,2.09,16.518,14.159,0.025,8.326,0.191,V
2456404.00847,2013-04-21.5062097,ba,2.06,16.598,14.250,0.026,7.653,0.186,V
2456410.98017,2013-04-28.4777015,ba,2.18,14.861,14.006,0.100,9.585,0.876,V
2456410.98203,2013-04-28.4795651,ba,2.20,14.489,>14.489,99.990,5.075,1.230,V
2456415.98649,2013-05-03.4839050,ba,2.27,16.705,14.212,0.022,7.933,0.162,V
2456435.95295,2013-05-23.4500633,ba,2.47,16.077,14.213,0.039,7.918,0.286,V
2456444.05621,2013-05-31.5532908,ba,2.26,16.562,14.164,0.024,8.283,0.184,V
2456444.05801,2013-05-31.5551028,ba,2.28,16.540,14.183,0.025,8.143,0.188,V
2456448.92572,2013-06-05.4228113,ba,2.24,16.567,14.245,0.027,7.684,0.187,V
2456448.92732,2013-06-05.4244144,ba,2.18,16.591,14.208,0.025,7.954,0.186,V
2456451.91347,2013-06-08.4105853,ba,2.17,16.540,14.125,0.024,8.591,0.188,V
2456451.91486,2013-06-08.4119671,ba,2.20,16.621,14.208,0.024,7.961,0.174,V
2456454.92721,2013-06-11.4243390,ba,1.77,14.208,13.907,0.166,10.503,1.593,V
2456454.92863,2013-06-11.4257664,ba,1.98,13.982,13.889,0.201,10.679,1.962,V
2456459.90002,2013-06-16.3972114,ba,2.07,16.509,14.197,0.026,8.036,0.193,V
2456459.90140,2013-06-16.3985960,ba,2.07,16.549,14.254,0.027,7.625,0.193,V
2456462.89552,2013-06-19.3927474,ba,2.01,16.320,14.224,0.033,7.843,0.237,V
2456462.89689,2013-06-19.3941229,ba,2.02,16.279,14.112,0.030,8.699,0.237,V
2456464.89457,2013-06-21.3918329,ba,1.76,16.063,14.145,0.037,8.427,0.289,V
2456464.89595,2013-06-21.3932151,ba,1.81,16.199,14.055,0.031,9.167,0.262,V
2456467.95607,2013-06-24.4533857,ba,1.78,16.006,14.135,0.039,8.505,0.308,V
2456467.95745,2013-06-24.4547671,ba,1.78,15.977,14.287,0.047,7.399,0.317,V
2456470.96799,2013-06-27.4653723,ba,2.25,16.287,14.231,0.034,7.786,0.240,V
2456470.96937,2013-06-27.4667449,ba,2.25,16.240,14.185,0.033,8.128,0.247,V
2456473.96956,2013-06-30.4670040,ba,2.34,16.403,14.235,0.030,7.758,0.212,V
2456473.97092,2013-06-30.4683629,ba,2.33,16.424,14.245,0.029,7.690,0.208,V
2456476.87377,2013-07-03.3712818,ba,2.08,16.685,14.197,0.022,8.036,0.164,V
2456476.87516,2013-07-03.3726856,ba,2.09,16.630,14.187,0.023,8.105,0.172,V
2456480.87018,2013-07-07.3678086,ba,2.10,16.509,14.191,0.027,8.080,0.197,V
2456480.87156,2013-07-07.3691820,ba,2.11,16.425,14.242,0.029,7.716,0.208,V
2456484.86712,2013-07-11.3648616,ba,2.17,16.631,14.211,0.023,7.937,0.172,V
2456484.86854,2013-07-11.3662866,ba,2.13,16.622,14.155,0.022,8.351,0.173,V
2456487.85245,2013-07-14.3502868,ba,2.00,16.590,14.204,0.024,7.990,0.178,V
2456487.85384,2013-07-14.3516783,ba,2.00,16.606,14.253,0.025,7.636,0.176,V
2456490.84836,2013-07-17.3462931,ba,1.80,16.431,14.224,0.029,7.838,0.207,V
2456490.84973,2013-07-17.3476671,ba,1.72,16.531,14.244,0.028,7.695,0.192,V
2456493.85046,2013-07-20.3485023,ba,2.13,16.030,14.172,0.040,8.222,0.298,V
2456493.85183,2013-07-20.3498693,ba,2.14,16.113,14.194,0.037,8.058,0.277,V
2456504.84667,2013-07-31.3451505,ba,1.76,16.190,14.201,0.036,8.009,0.265,V
2456504.84803,2013-07-31.3465091,ba,1.78,16.428,14.202,0.029,8.002,0.214,V
2456505.84819,2013-08-01.3467115,ba,2.09,16.694,14.207,0.023,7.962,0.169,V
2456505.84957,2013-08-01.3480840,ba,2.11,16.679,14.239,0.024,7.728,0.170,V
2456506.83156,2013-08-02.3301258,ba,2.03,16.628,14.131,0.023,8.541,0.180,V
2456506.83297,2013-08-02.3315255,ba,2.03,16.679,14.231,0.024,7.789,0.172,V
2456507.84283,2013-08-03.3414366,ba,1.68,16.745,14.191,0.022,8.084,0.163,V
2456507.84427,2013-08-03.3428854,ba,1.68,16.722,14.261,0.024,7.578,0.165,V
2456511.82609,2013-08-07.3248681,ba,2.15,16.715,14.227,0.023,7.821,0.167,V
2456511.82763,2013-08-07.3264136,ba,2.16,16.647,14.201,0.024,8.008,0.172,V
2456512.82928,2013-08-08.3281069,ba,2.10,16.539,14.178,0.025,8.178,0.187,V
2456512.83087,2013-08-08.3296871,ba,2.12,16.434,14.233,0.029,7.779,0.206,V
2456517.81403,2013-08-13.3130877,ba,1.79,16.451,14.255,0.030,7.616,0.207,V
2456517.81547,2013-08-13.3145240,ba,1.75,16.501,14.299,0.030,7.313,0.200,V
2456520.80618,2013-08-16.3053741,ba,1.82,16.359,14.185,0.029,8.132,0.221,V
2456520.80756,2013-08-16.3067417,ba,1.74,16.369,14.221,0.031,7.859,0.225,V
2456525.77679,2013-08-21.2762134,ba,1.77,16.144,13.977,0.030,9.847,0.269,V
2456525.77815,2013-08-21.2775725,ba,1.64,16.068,14.076,0.035,8.987,0.288,V
2456528.79175,2013-08-24.2913160,ba,1.68,16.649,14.201,0.023,8.008,0.170,V
2456528.79312,2013-08-24.2926887,ba,1.71,16.529,14.272,0.027,7.501,0.189,V
2456534.76805,2013-08-30.2679090,ba,1.75,16.688,14.235,0.024,7.758,0.168,V
2456534.76940,2013-08-30.2692658,ba,1.78,16.624,14.217,0.024,7.895,0.173,V
2456536.77505,2013-09-01.2750050,ba,1.99,16.624,14.184,0.023,8.131,0.174,V
2456536.77641,2013-09-01.2763732,ba,1.76,16.645,14.124,0.021,8.599,0.170,V
2456537.77796,2013-09-02.2779699,ba,2.04,16.677,14.213,0.023,7.922,0.165,V
2456537.77939,2013-09-02.2794011,ba,2.06,16.691,14.152,0.021,8.374,0.164,V
2456538.77703,2013-09-03.2770908,ba,1.66,16.643,14.292,0.025,7.370,0.170,V
2456538.77840,2013-09-03.2784609,ba,1.79,16.618,14.176,0.023,8.196,0.174,V
2456548.75034,2013-09-13.2508821,ba,2.01,16.461,14.158,0.026,8.334,0.202,V
2456548.75171,2013-09-13.2522518,ba,2.04,16.494,14.200,0.027,8.018,0.200,V
2456559.71812,2013-09-24.2191831,ba,1.81,16.087,14.148,0.037,8.411,0.284,V
2456559.71950,2013-09-24.2205635,ba,2.02,16.095,14.261,0.040,7.574,0.281,V
2456562.71466,2013-09-27.2158577,ba,2.04,15.874,14.113,0.043,8.687,0.344,V
2456562.71605,2013-09-27.2172412,ba,2.03,16.048,14.208,0.040,7.955,0.295,V
2456563.70317,2013-09-28.2044137,ba,2.31,99.990,99.990,99.990,99.990,99.990,V
2456563.70453,2013-09-28.2057723,ba,2.22,14.875,14.515,0.159,5.998,0.864,V
2456565.70176,2013-09-30.2030881,ba,2.00,15.327,14.249,0.081,7.664,0.570,V
2456565.70312,2013-09-30.2044504,ba,1.70,15.433,14.389,0.084,6.736,0.517,V
2456566.70957,2013-10-01.2109366,ba,1.76,15.369,14.253,0.079,7.636,0.550,V
2456566.71092,2013-10-01.2122912,ba,1.72,15.646,14.173,0.056,8.215,0.426,V
2456567.71390,2013-10-02.2153171,ba,2.10,15.913,14.238,0.047,7.741,0.334,V
2456567.71527,2013-10-02.2166865,ba,2.03,16.199,14.115,0.032,8.664,0.257,V
2456570.69854,2013-10-05.2000827,ba,2.03,99.990,99.990,99.990,99.990,99.990,V
2456570.69995,2013-10-05.2014817,ba,1.85,15.604,14.141,0.057,8.463,0.443,V
2456575.70661,2013-10-10.2083458,ba,1.72,14.156,13.799,0.159,11.593,1.685,V
2456575.70797,2013-10-10.2097055,ba,1.69,16.039,14.127,0.038,8.569,0.297,V
2456658.17194,2013-12-31.6743901,bc,1.81,15.832,14.162,0.047,8.296,0.357,V
2456658.17327,2013-12-31.6757100,bc,1.83,15.603,14.196,0.060,8.051,0.441,V
2456701.05176,2014-02-12.5525454,bc,2.50,16.088,14.222,0.040,7.852,0.291,V
2456701.05306,2014-02-12.5538505,bc,2.43,15.932,14.222,0.046,7.854,0.333,V
2456731.07302,2014-03-14.5719202,bc,2.19,16.230,14.249,0.035,7.660,0.248,V
2456731.07432,2014-03-14.5732178,bc,2.27,16.216,14.191,0.034,8.079,0.252,V
2456734.10428,2014-03-17.6030344,bc,2.41,16.138,14.234,0.038,7.768,0.270,V
2456734.10559,2014-03-17.60435,bc,2.43,15.994,14.207,0.042,7.969,0.308,V
2456736.02455,2014-03-19.5232101,bc,1.77,16.336,14.191,0.030,8.086,0.225,V
2456736.02585,2014-03-19.5245121,bc,1.78,16.188,14.245,0.037,7.686,0.258,V
2456737.02690,2014-03-20.5255172,bc,1.56,16.358,14.205,0.030,7.976,0.220,V
2456737.02820,2014-03-20.5268160,bc,1.58,16.359,14.225,0.031,7.838,0.220,V
2456756.92408,2014-04-09.4218429,bc,2.25,16.140,14.169,0.036,8.252,0.270,V
2456756.92546,2014-04-09.4232164,bc,2.21,16.280,14.203,0.033,7.993,0.241,V
2456760.00043,2014-04-12.4980756,bc,1.45,16.341,14.129,0.028,8.561,0.224,V
2456760.00176,2014-04-12.4994011,bc,1.43,16.380,14.268,0.031,7.532,0.216,V
2456766.99296,2014-04-19.4903577,bc,2.37,16.259,14.224,0.033,7.843,0.241,V
2456772.12471,2014-04-24.6219506,bc,2.42,16.463,14.205,0.027,7.975,0.200,V
2456772.12648,2014-04-24.6237140,bc,2.22,16.438,14.182,0.027,8.155,0.205,V
2456783.96847,2014-05-06.4654182,bc,1.87,16.577,14.197,0.024,8.036,0.180,V
2456783.96980,2014-05-06.4667504,bc,1.80,16.606,14.253,0.025,7.631,0.176,V
2456785.96363,2014-05-08.4605388,bc,2.46,16.366,14.217,0.032,7.895,0.229,V
2456787.81504,2014-05-10.3119100,bc,2.19,16.072,14.124,0.037,8.599,0.291,V
2456787.81637,2014-05-10.3132479,bc,2.40,16.054,14.232,0.042,7.784,0.296,V
2456788.94997,2014-05-11.4468175,bc,1.74,16.402,14.199,0.029,8.019,0.212,V
2456788.95130,2014-05-11.4481517,bc,1.79,16.405,14.218,0.029,7.883,0.211,V
2456796.05026,2014-05-18.5470140,bc,2.09,16.330,14.226,0.031,7.824,0.226,V
2456796.05159,2014-05-18.5483516,bc,2.08,16.285,14.162,0.031,8.300,0.236,V
2456797.06247,2014-05-19.5592163,bc,1.70,16.467,14.150,0.026,8.391,0.200,V
2456797.06384,2014-05-19.5605815,bc,1.78,16.443,14.180,0.027,8.164,0.204,V
2456797.94028,2014-05-20.4370148,bc,1.72,16.610,14.517,0.032,5.984,0.175,V
2456797.94164,2014-05-20.4383726,bc,1.67,16.731,14.591,0.031,5.590,0.161,V
2456799.06447,2014-05-21.5611943,bc,2.18,16.537,14.178,0.025,8.177,0.187,V
2456799.06584,2014-05-21.5625701,bc,2.15,16.438,14.160,0.027,8.321,0.205,V
2456800.94726,2014-05-23.4439684,bc,1.49,16.621,14.200,0.023,8.016,0.173,V
2456800.94861,2014-05-23.4453247,bc,1.54,16.603,14.160,0.023,8.321,0.176,V
2456802.93313,2014-05-25.4298283,bc,2.02,16.537,14.201,0.025,8.001,0.187,V
2456802.93450,2014-05-25.4311996,bc,2.03,16.554,14.179,0.024,8.170,0.184,V
2456805.97461,2014-05-28.4712968,bc,2.27,16.557,14.198,0.025,8.030,0.185,V
2456805.97600,2014-05-28.4726854,bc,2.31,16.531,14.159,0.025,8.322,0.190,V
2456808.94240,2014-05-31.4390870,bc,2.22,16.372,14.167,0.029,8.262,0.218,V
2456808.94376,2014-05-31.4404430,bc,2.21,16.380,14.230,0.030,7.798,0.217,V
2456810.91396,2014-06-02.4106420,bc,2.45,16.568,14.208,0.026,7.956,0.190,V
2456810.91538,2014-06-02.4120670,bc,2.47,16.528,14.205,0.027,7.981,0.196,V
2456812.75987,2014-06-04.2565520,bc,1.42,16.442,14.174,0.027,8.209,0.204,V
2456812.76120,2014-06-04.2578884,bc,1.40,16.492,14.178,0.026,8.180,0.195,V
2456813.92694,2014-06-05.4236342,bc,1.59,16.318,14.159,0.030,8.329,0.229,V
2456813.92842,2014-06-05.4251163,bc,1.55,16.346,14.183,0.030,8.146,0.223,V
2456814.82726,2014-06-06.3239502,bc,1.50,16.351,14.186,0.030,8.123,0.222,V
2456814.82861,2014-06-06.3253070,bc,1.49,16.452,14.198,0.027,8.030,0.202,V
2456815.74962,2014-06-07.2463172,bc,1.40,15.841,14.150,0.046,8.391,0.354,V
2456815.75095,2014-06-07.2476414,bc,1.39,15.860,14.206,0.048,7.975,0.349,V
2456816.90808,2014-06-08.4047833,bc,1.50,16.487,14.168,0.026,8.254,0.196,V
2456816.90948,2014-06-08.4061792,bc,1.52,16.467,14.169,0.026,8.252,0.199,V
2456817.91117,2014-06-09.4078846,bc,1.52,16.475,14.218,0.027,7.887,0.198,V
2456817.91251,2014-06-09.4092288,bc,1.49,16.431,14.196,0.028,8.047,0.206,V
2456818.89746,2014-06-10.3941769,bc,1.38,16.417,14.197,0.028,8.037,0.209,V
2456818.89887,2014-06-10.3955886,bc,1.42,16.460,14.236,0.028,7.754,0.200,V
2456819.90464,2014-06-11.4013690,bc,1.43,16.328,14.198,0.031,8.034,0.227,V
2456819.90605,2014-06-11.4027777,bc,1.41,16.303,14.256,0.033,7.612,0.232,V
2456820.90170,2014-06-12.3984348,bc,1.50,15.969,14.300,0.047,7.309,0.315,V
2456820.90313,2014-06-12.3998641,bc,1.44,16.079,14.229,0.040,7.800,0.285,V
2456822.90899,2014-06-14.4057414,bc,1.66,16.181,14.256,0.037,7.610,0.259,V
2456822.91042,2014-06-14.4071726,bc,1.69,16.233,14.254,0.035,7.625,0.247,V
2456823.99477,2014-06-15.4915409,bc,1.86,16.296,14.184,0.031,8.134,0.233,V
2456823.99623,2014-06-15.4930021,bc,1.96,16.233,14.119,0.031,8.640,0.247,V
2456824.91258,2014-06-16.4093616,bc,1.68,16.443,14.201,0.028,8.012,0.204,V
2456824.91407,2014-06-16.4108476,bc,1.58,16.439,14.175,0.027,8.200,0.205,V
2456826.03101,2014-06-17.5278046,bc,1.68,15.869,14.227,0.048,7.815,0.346,V
2456826.03247,2014-06-17.5292645,bc,1.68,15.928,14.140,0.042,8.470,0.327,V
2456827.02275,2014-06-18.5195518,bc,2.08,16.419,14.210,0.029,7.942,0.209,V
2456827.02419,2014-06-18.5210031,bc,2.07,16.414,14.188,0.028,8.103,0.210,V
2456829.91095,2014-06-21.4078040,bc,1.82,16.611,14.192,0.023,8.076,0.175,V
2456829.91235,2014-06-21.4092065,bc,1.82,16.597,14.142,0.023,8.450,0.177,V
2456833.89272,2014-06-25.3896415,bc,1.92,16.559,14.185,0.024,8.125,0.183,V
2456833.89518,2014-06-25.3921045,bc,1.79,16.590,14.201,0.024,8.010,0.178,V
2456846.86519,2014-07-08.3624342,bc,1.39,16.443,14.252,0.029,7.639,0.204,V
2456846.86661,2014-07-08.3638528,bc,1.38,16.455,14.184,0.027,8.135,0.202,V
2456847.86742,2014-07-09.3646927,bc,1.40,16.361,14.208,0.030,7.955,0.220,V
2456847.86887,2014-07-09.3661453,bc,1.48,16.373,14.180,0.029,8.162,0.217,V
2456849.85984,2014-07-11.3571763,bc,1.59,15.499,14.183,0.065,8.142,0.486,V
2456849.86127,2014-07-11.3586056,bc,1.59,16.051,14.182,0.039,8.148,0.292,V
2456850.86790,2014-07-12.3652629,bc,1.47,16.106,14.546,0.052,5.826,0.278,V
2456850.86933,2014-07-12.3666918,bc,1.53,16.196,14.485,0.045,6.165,0.255,V
2456851.93658,2014-07-13.4339770,bc,1.52,15.134,14.212,0.094,7.927,0.681,V
2456851.93801,2014-07-13.4354082,bc,1.58,15.073,14.266,0.104,7.542,0.718,V
2456852.94127,2014-07-14.4386974,bc,1.68,15.771,14.217,0.052,7.892,0.378,V
2456852.94281,2014-07-14.4402362,bc,1.63,16.101,14.243,0.040,7.703,0.279,V
2456853.93299,2014-07-15.4304549,bc,1.50,15.957,14.241,0.045,7.714,0.319,V
2456853.93457,2014-07-15.4320313,bc,1.40,15.988,14.140,0.041,8.467,0.314,V
2456854.93283,2014-07-16.4303238,bc,1.48,16.491,14.508,0.035,6.038,0.195,V
2456854.93429,2014-07-16.4317803,bc,1.40,16.497,14.479,0.034,6.200,0.194,V
2456856.85583,2014-07-18.3533885,bc,1.43,16.652,14.198,0.023,8.035,0.168,V
2456856.85727,2014-07-18.3548365,bc,1.49,16.655,14.185,0.022,8.130,0.168,V
2456857.86740,2014-07-19.3650069,bc,1.39,16.539,14.171,0.025,8.225,0.187,V
2456857.86891,2014-07-19.3665120,bc,1.41,16.464,14.170,0.026,8.235,0.200,V
2456863.84898,2014-07-25.3468011,bc,1.36,16.662,14.221,0.023,7.867,0.167,V
2456863.85038,2014-07-25.3482041,bc,1.42,16.645,14.210,0.023,7.939,0.169,V
2456864.84798,2014-07-26.3458324,bc,1.36,16.647,14.162,0.022,8.298,0.169,V
2456864.84943,2014-07-26.3472857,bc,1.43,16.618,14.174,0.023,8.211,0.174,V
2456865.84615,2014-07-27.3440533,bc,1.42,16.665,14.196,0.022,8.043,0.166,V
2456865.84763,2014-07-27.3455319,bc,1.42,16.669,14.203,0.022,7.998,0.165,V
2456866.85176,2014-07-28.3496964,bc,1.58,16.574,14.178,0.024,8.182,0.180,V
2456866.85329,2014-07-28.3512322,bc,1.67,16.523,14.173,0.025,8.216,0.189,V
2456867.84646,2014-07-29.3444512,bc,1.65,16.617,14.210,0.024,7.940,0.174,V
2456867.84815,2014-07-29.3461377,bc,1.57,16.641,14.172,0.022,8.225,0.170,V
2456868.83615,2014-07-30.3341706,bc,1.45,16.593,14.165,0.023,8.273,0.178,V
2456868.83754,2014-07-30.3355655,bc,1.44,16.637,14.194,0.023,8.061,0.170,V
2456873.82135,2014-08-04.3195826,bc,1.52,16.521,14.305,0.028,7.278,0.190,V
2456873.82293,2014-08-04.3211630,bc,1.59,16.449,14.230,0.028,7.793,0.203,V
2456876.82644,2014-08-07.3247996,bc,1.55,16.373,14.209,0.030,7.951,0.217,V
2456876.82783,2014-08-07.3261913,bc,1.57,16.333,14.133,0.029,8.526,0.226,V
2456881.81039,2014-08-12.3089753,bc,1.37,16.427,14.206,0.029,7.973,0.216,V
2456881.81176,2014-08-12.3103407,bc,1.36,16.451,14.229,0.028,7.803,0.202,V
2456882.81282,2014-08-13.3114490,bc,1.44,16.408,14.206,0.029,7.974,0.210,V
2456882.81418,2014-08-13.3128060,bc,1.42,16.487,14.208,0.027,7.956,0.196,V
2456883.80568,2014-08-14.3043534,bc,1.39,16.607,14.170,0.023,8.241,0.175,V
2456883.80707,2014-08-14.3057484,bc,1.47,16.630,14.213,0.024,7.923,0.182,V
2456885.79916,2014-08-16.2979342,bc,1.52,16.633,14.177,0.023,8.188,0.171,V
2456885.80073,2014-08-16.2994993,bc,1.46,16.601,14.212,0.024,7.920,0.176,V
2456886.81982,2014-08-17.3186413,bc,2.14,16.579,14.201,0.024,8.006,0.180,V
2456888.78730,2014-08-19.2862075,bc,1.48,16.640,14.204,0.023,7.984,0.170,V
2456888.78869,2014-08-19.2876030,bc,1.47,16.639,14.199,0.023,8.023,0.170,V
2456889.79228,2014-08-20.2912379,bc,1.41,16.607,14.201,0.024,8.009,0.175,V
2456889.79367,2014-08-20.2926261,bc,1.42,16.639,14.179,0.023,8.176,0.170,V
2456890.79539,2014-08-21.2943987,bc,1.39,16.636,14.195,0.023,8.052,0.171,V
2456890.79678,2014-08-21.2957925,bc,1.35,16.647,14.197,0.023,8.039,0.169,V
2456891.78571,2014-08-22.2847671,bc,1.38,16.622,14.185,0.023,8.128,0.173,V
2456891.78722,2014-08-22.2862797,bc,1.37,16.635,14.193,0.023,8.072,0.171,V
2456896.78599,2014-08-27.2852857,bc,1.36,16.633,14.160,0.022,8.315,0.171,V
2456896.78738,2014-08-27.2866787,bc,1.42,16.623,14.167,0.023,8.263,0.173,V
2456898.79790,2014-08-29.2972972,bc,1.70,16.606,14.166,0.023,8.270,0.175,V
2456898.79930,2014-08-29.2986981,bc,1.63,16.568,14.195,0.024,8.053,0.182,V
2456900.77490,2014-08-31.2743938,bc,1.45,16.745,14.567,0.030,5.720,0.159,V
2456900.77630,2014-08-31.2757981,bc,1.43,16.696,14.496,0.029,6.099,0.161,V
2456902.76853,2014-09-02.2681243,bc,1.39,16.534,14.162,0.025,8.298,0.188,V
2456902.76993,2014-09-02.2695237,bc,1.37,16.507,14.153,0.025,8.366,0.192,V
2456907.75461,2014-09-07.2544480,bc,1.73,16.289,14.148,0.030,8.413,0.235,V
2456907.75612,2014-09-07.2559641,bc,1.64,16.275,14.213,0.033,7.922,0.238,V
2456908.77347,2014-09-08.2733664,bc,1.39,16.047,14.133,0.038,8.524,0.293,V
2456908.77497,2014-09-08.2748553,bc,1.41,16.116,14.240,0.039,7.728,0.275,V
2456909.75720,2014-09-09.2571366,bc,1.39,16.230,14.134,0.032,8.518,0.248,V
2456909.75862,2014-09-09.2585538,bc,1.35,16.280,14.168,0.031,8.253,0.237,V
2456911.75398,2014-09-11.2540107,bc,1.38,16.611,14.176,0.023,8.195,0.175,V
2456911.75541,2014-09-11.2554460,bc,1.38,16.518,14.227,0.026,7.818,0.190,V
2456912.75727,2014-09-12.2573560,bc,1.44,16.598,14.185,0.024,8.127,0.177,V
2456912.75877,2014-09-12.2588547,bc,1.43,16.578,14.204,0.024,7.987,0.180,V
2456913.75286,2014-09-13.2529825,bc,1.58,16.641,14.217,0.023,7.891,0.170,V
2456913.75427,2014-09-13.2543983,bc,1.62,16.605,14.181,0.023,8.153,0.176,V
2456914.74609,2014-09-14.2462611,bc,1.47,16.609,14.183,0.023,8.144,0.175,V
2456914.74752,2014-09-14.2477003,bc,1.45,16.611,14.165,0.023,8.278,0.175,V
2456915.74684,2014-09-15.2470629,bc,1.47,16.574,14.171,0.024,8.234,0.181,V
2456915.74831,2014-09-15.2485322,bc,1.45,16.577,14.157,0.023,8.336,0.180,V
2456916.74147,2014-09-16.2417380,bc,1.33,16.601,14.160,0.023,8.318,0.177,V
2456916.74287,2014-09-16.2431414,bc,1.34,16.593,14.170,0.023,8.240,0.178,V
2456917.74534,2014-09-17.2456599,bc,1.39,16.631,14.179,0.023,8.174,0.172,V
2456917.74675,2014-09-17.2470642,bc,1.38,16.591,14.205,0.024,7.976,0.178,V
2456918.72866,2014-09-18.2290285,bc,1.38,16.601,14.206,0.024,7.976,0.176,V
2456918.73013,2014-09-18.2304899,bc,1.40,16.601,14.177,0.023,8.188,0.176,V
2456919.74141,2014-09-19.2418258,bc,1.41,16.617,14.178,0.023,8.174,0.174,V
2456919.74292,2014-09-19.2433281,bc,1.39,16.679,14.233,0.024,7.773,0.174,V
2456923.73654,2014-09-23.2371356,bc,1.57,16.587,14.200,0.024,8.018,0.179,V
2456923.73944,2014-09-23.2400396,bc,1.76,16.662,14.308,0.027,7.260,0.176,V
2456924.72391,2014-09-24.2245495,bc,1.44,16.586,14.170,0.024,8.242,0.179,V
2456924.72532,2014-09-24.2259615,bc,1.44,16.607,14.180,0.023,8.165,0.175,V
2456927.71312,2014-09-27.2138930,bc,1.47,15.906,14.186,0.045,8.120,0.333,V
2456927.71454,2014-09-27.2153192,bc,1.47,15.933,14.215,0.045,7.905,0.325,V
2456928.71228,2014-09-28.2131023,bc,1.43,16.013,14.257,0.043,7.608,0.303,V
2456928.71373,2014-09-28.2145547,bc,1.50,16.221,14.177,0.033,8.187,0.250,V
2456931.70451,2014-10-01.2054644,bc,1.38,15.848,14.119,0.045,8.638,0.352,V
2456931.70593,2014-10-01.2068840,bc,1.44,16.034,14.151,0.039,8.388,0.297,V
2456933.70028,2014-10-03.2013170,bc,1.61,15.565,14.220,0.063,7.870,0.457,V
2456933.70168,2014-10-03.2027210,bc,1.46,15.821,14.309,0.054,7.247,0.361,V
2456934.70829,2014-10-04.2093715,bc,1.42,15.272,14.460,0.104,6.311,0.599,V
2456934.70969,2014-10-04.2107701,bc,1.45,14.827,14.381,0.145,6.788,0.901,V
2456937.70066,2014-10-07.2018597,bc,1.43,15.751,14.205,0.053,7.979,0.385,V
2456937.70213,2014-10-07.2033340,bc,1.39,15.959,14.123,0.040,8.600,0.318,V
2456938.69707,2014-10-08.1983115,bc,1.73,15.463,14.315,0.076,7.210,0.501,V
2456938.69846,2014-10-08.1997056,bc,1.60,15.745,14.282,0.057,7.432,0.387,V
2457022.16987,2014-12-30.6719350,bc,1.84,15.746,14.446,0.066,6.386,0.386,V
2457022.17173,2014-12-30.6737945,bc,2.01,15.509,14.690,0.103,5.107,0.480,V
